,CharName,CharID,Event
110,Bishop,1009182,227
111,Blink,1009197,227
112,Blob,1009199,227
113,Boomer,1009205,227
114,Brute,1009210,227
115,Cable,1009214,227
116,Callisto (Age of Apocalypse),1010912,227
117,Cannonball,1009219,227
118,Captain Britain,1009223,227
119,Carol Danvers,1009261,227
120,Colossus,1009243,227
121,Cyclops,1009257,227
122,Death,1009269,227
123,Destiny,1009271,227
124,Domino,1009277,227
125,Emma Frost,1009310,227
126,Emplate,1009292,227
127,Exodus,1009295,227
128,Forge,1009309,227
129,Gambit,1009313,227
130,Havok,1009337,227
131,Holocaust (Age of Apocalypse),1009349,227
132,Husk,1009357,227
133,Iceman,1009362,227
134,Jean Grey,1009327,227
135,Jubilee,1009381,227
136,Jubilee (Age of Apocalypse),1010936,227
137,Karma,1011386,227
138,Kitty Pryde,1009508,227
139,Legion,1009399,227
140,Madelyne Pryor,1009509,227
141,Magik (Illyana Rasputin),1009415,227
142,Magma (Amara Aquilla),1009416,227
143,Magneto,1009417,227
144,Magneto (Age of Apocalypse),1010944,227
145,Mariko Yashida,1009735,227
146,Marrow,1009425,227
147,Mastermind,1009434,227
148,Mikhail Rasputin,1009530,227
149,Mister Sinister,1009447,227
150,Moira MacTaggert,1009410,227
151,Morph,1009456,227
152,Mystique,1009465,227
153,Mystique (Age of Apocalypse),1010953,227
154,Nightcrawler,1009472,227
155,Northstar,1009476,227
156,Polaris,1009499,227
157,Professor X,1009504,227
158,Psylocke,1009512,227
159,Quicksilver,1009524,227
160,Quicksilver (Age of Apocalypse),1010964,227
161,Rictor,1009542,227
162,Rogue,1009546,227
163,Rogue (Age of Apocalypse),1010967,227
164,Sabretooth,1009554,227
165,Sabretooth (Age of Apocalypse),1010969,227
166,Sauron,1009561,227
167,Scarlet Witch,1009562,227
168,Shadow King (Age of Apocalypse),1010973,227
169,Shatterstar,1009580,227
170,Skin,1009598,227
171,Storm,1009629,227
172,Storm (Age of Apocalypse),1010979,227
173,Sunfire,1009636,227
174,Sunfire (Age of Apocalypse),1010981,227
175,Sunspot,1009638,227
176,Synch,1009643,227
177,The Renegades,1011211,227
178,The Stranger,1009660,227
179,Toad,1009673,227
180,Unus,1009687,227
181,Unus (Age of Apocalypse),1010987,227
182,War (Abraham Kieros),1009701,227
183,Warpath,1009705,227
184,Weapon X,1009709,227
185,Wild Child,1009715,227
186,Wild Child (Age of Apocalypse),1010994,227
187,Wolverine,1009718,227
188,X-Force,1009724,227
189,X-Man,1009725,227
190,X-Men,1009726,227
191,Avengers,1009165,314
192,Black Widow,1009189,314
193,Captain America,1009220,314
194,Doctor Doom,1009281,314
195,Hawkeye,1009338,314
196,Kang,1009384,314
197,Luke Cage,1009215,314
198,Moon Knight,1009452,314
199,She-Hulk (Jennifer Walters),1009583,314
200,Spider-Man,1009610,314
201,Ultron,1009685,314
202,Vision,1009697,314
203,Wolverine,1009718,314
204,X-Men,1009726,314
205,Arcade,1009158,303
206,Avalanche,1009164,303
207,Avengers,1009165,303
208,Beast,1009175,303
209,Blob,1009199,303
210,Cannonball,1009219,303
211,Captain America,1009220,303
212,Cecilia Reyes,1009536,303
213,Chamber,1009233,303
214,Colossus,1009243,303
215,Cyclops,1009257,303
216,Dazzler,1009267,303
217,Domino,1009277,303
218,Emma Frost,1009310,303
219,Frank Castle,1009229,303
220,Gambit,1009313,303
221,Ghost Rider (Johnny Blaze),1009318,303
222,Havok,1009337,303
223,Hellion,1010678,303
224,Hulk,1009351,303
225,Husk,1009357,303
226,Iceman,1009362,303
227,Invisible Woman,1009366,303
228,Iron Man,1009368,303
229,Jessica Drew,1010667,303
230,Jubilee,1009381,303
231,Legion,1009399,303
232,Magma (Amara Aquilla),1009416,303
233,Magneto,1009417,303
234,Moira MacTaggert,1009410,303
235,Mystique,1009465,303
236,Namor,1009466,303
237,New Mutants,1011336,303
238,Nightmare,1009473,303
239,Pixie,1011179,303
240,Professor X,1009504,303
241,Reaper,1009532,303
242,Rockslide,1010692,303
243,Rogue,1009546,303
244,Sabretooth,1009554,303
245,Storm,1009629,303
246,Sub-Mariner,1010791,303
247,Toad,1009673,303
248,Wolverine,1009718,303
249,X-Men,1009726,303
250,Air-Walker (Gabriel Lan),1011136,229
251,Annihilus,1009154,229
252,Baroness S'Bak,1011137,229
253,Blastaar,1009195,229
254,Cammi,1011139,229
255,Devos,1011142,229
256,Drax,1010735,229
257,Firelord,1009305,229
258,Forgotten One,1011177,229
259,Galactus,1009312,229
260,Gamora,1010763,229
261,Glorian,1011144,229
262,Korath,1011147,229
263,Lord Hawal,1011145,229
264,Moondragon,1009451,229
265,Nebula,1010365,229
266,Nova,1009477,229
267,Peter Quill,1010734,229
268,Praxagora,1011151,229
269,Preak,1011152,229
270,Quasar (Wendell Vaughn),1010778,229
271,Ravenous,1011154,229
272,Red Shift,1011155,229
273,Ronan,1010344,229
274,Salo,1011156,229
275,Silver Surfer,1009592,229
276,Skreet,1011157,229
277,Stardust,1010764,229
278,Super-Skrull,1009639,229
279,Talos,1011161,229
280,Tana Nile,1011149,229
281,Tenebrous,1011162,229
282,Terrax,1009651,229
283,Thanos,1009652,229
284,Adam Warlock,1010354,293
285,Blastaar,1009195,293
286,Captain Universe,1011027,293
287,Deathcry,1011037,293
288,Gamora,1010763,293
289,Groot,1010743,293
290,Guardians of the Galaxy,1011299,293
291,High Evolutionary,1011300,293
292,Mantis,1011026,293
293,Moondragon,1009451,293
294,Nova,1009477,293
295,Quasar (Phyla-Vell),1009523,293
296,Rocket Raccoon,1010744,293
297,Ronan,1010344,293
298,Star-Lord (Peter Quill),1010733,293
299,Super-Skrull,1009639,293
300,Ultron,1009685,293
301,Wraith,1010737,293
302,Beetle (Abner Jenkins),1009179,231
303,Captain America,1009220,231
304,Crimson Dynamo,1009251,231
305,Electro,1009287,231
306,Hawkeye,1009338,231
307,Iron Man,1009368,231
308,Serpent Society,1009572,231
309,Stingray (Walter Newell),1009628,231
310,Titanium Man (Topolov),1009672,231
311,Wonder Man,1009719,231
312,Adam Warlock,1010354,233
313,Archangel,1009159,233
314,Avengers,1009165,233
315,Beast,1009175,233
316,Boom Boom,1010366,233
317,Cannonball,1009219,233
318,Celestials,1010813,233
319,Colossus,1009243,233
320,Cyclops,1009257,233
321,Dazzler,1009267,233
322,Doctor Doom,1009281,233
323,Eternals,1010807,233
324,Fantastic Four,1009299,233
325,Firebird,1010868,233
326,Gateway,1009315,233
327,Havok,1009337,233
328,Human Torch,1009356,233
329,Iceman,1009362,233
330,Invisible Woman,1009366,233
331,Iron Man,1009368,233
332,J. Jonah Jameson,1009372,233
333,Jean Grey,1009327,233
334,Jubilee,1009381,233
335,Leech,1011092,233
336,Loki,1009407,233
337,Longshot,1009408,233
338,Magneto,1009417,233
339,Namor,1009466,233
340,Namorita,1009469,233
341,New Mutants,1011336,233
342,Polaris,1009499,233
343,Power Pack,1010770,233
344,Psylocke,1009512,233
345,Punisher,1009515,233
346,Quasar (Phyla-Vell),1009523,233
347,Rictor,1009542,233
348,Rogue,1009546,233
349,She-Hulk (Jennifer Walters),1009583,233
350,Spider-Man,1009610,233
351,Storm,1009629,233
352,Sub-Mariner,1010791,233
353,Sunspot,1009638,233
354,Thing,1009662,233
355,Thor,1009664,233
356,Wolfsbane,1009717,233
357,Wolverine,1009718,233
358,X-Factor,1010738,233
359,X-Men,1009726,233
360,Avengers,1009165,234
361,Captain America,1009220,234
362,Excalibur,1010771,234
363,Fantastic Four,1009299,234
364,Franklin Richards,1009539,234
365,Galactus,1009312,234
366,Hawkeye,1009338,234
367,Human Torch,1009356,234
368,Hydra,1009359,234
369,Invisible Woman,1009366,234
370,Iron Man,1009368,234
371,Mr. Fantastic,1009459,234
372,Scarlet Witch,1009562,234
373,Spider-Man,1009610,234
374,Thing,1009662,234
375,Thor,1009664,234
376,Valeria Richards,1009525,234
377,Wasp,1009707,234
378,Avengers,1009165,310
379,Beast,1009175,310
380,Black Widow,1009189,310
381,Brood,1009208,310
382,Cable,1009214,310
383,Captain America,1009220,310
384,Captain Britain,1009223,310
385,Captain Marvel (Carol Danvers),1010338,310
386,Colossus,1009243,310
387,Cyclops,1009257,310
388,Doctor Strange,1009282,310
389,Emma Frost,1009310,310
390,Gambit,1009313,310
391,Genesis,1009317,310
392,Giant Man,1009320,310
393,Hawkeye,1009338,310
394,Hercules,1009343,310
395,Hope Summers,1011428,310
396,Iceman,1009362,310
397,Iron Fist (Danny Rand),1009367,310
398,Iron Man,1009368,310
399,Iron Patriot (James Rhodes),1009538,310
400,Jean Grey,1009327,310
401,Jocasta,1009376,310
402,Juggernaut,1009382,310
403,Kitty Pryde,1009508,310
404,Lightspeed,1010450,310
405,Luke Cage,1009215,310
406,Magik (Illyana Rasputin),1009415,310
407,Magneto,1009417,310
408,Namor,1009466,310
409,Quentin Quire,1009387,310
410,Quicksilver,1009524,310
411,Rachel Grey,1009430,310
412,Red Hulk,1011360,310
413,Reptil,1011376,310
414,Scarlet Witch,1009562,310
415,Sebastian Shaw,1009581,310
416,Spider-Man,1009610,310
417,Spider-Woman (Jessica Drew),1009608,310
418,Storm,1009629,310
419,Sub-Mariner,1010791,310
420,Thing,1009662,310
421,Thor,1009664,310
422,Tigra (Greer Nelson),1009670,310
423,Vision,1009697,310
424,Warbird,1009703,310
425,White Tiger (Angela Del Toro),1010853,310
426,Wolverine,1009718,310
427,X-23,1009722,310
428,X-Men,1009726,310
429,Arnim Zola,1009740,320
430,Beast,1009175,320
431,Captain America,1009220,320
432,Carnage,1009227,320
433,Deadpool,1009268,320
434,Doctor Doom,1009281,320
435,Enchantress (Amora),1010671,320
436,Falcon,1009297,320
437,Firestar,1009306,320
438,Jack O' Lantern,1010766,320
439,Loki,1009407,320
440,Magneto,1009417,320
441,Mystique,1009465,320
442,Nightcrawler,1009472,320
443,Quicksilver,1009524,320
444,Red Skull,1009535,320
445,Rogue,1009546,320
446,Scarlet Witch,1009562,320
447,X-Men,1009726,320
448,Adam Warlock,1010354,235
449,Doctor Strange,1009282,235
450,Drax,1010735,235
451,Eternity,1011061,235
452,Gamora,1010763,235
453,Moondragon,1009451,235
454,Odin,1009480,235
455,Pip,1010762,235
456,Sif,1009588,235
457,Silver Surfer,1009592,235
458,Thanos,1009652,235
459,Thor,1009664,235
460,Valkyrie (Samantha Parrington),1010350,235
461,Abomination (Emil Blonsky),1009146,296
462,Alpha Flight,1010370,296
463,Ares,1010784,296
464,Aurora,1009163,296
465,Avengers,1009165,296
466,Banshee,1009168,296
467,Beast,1009175,296
468,Black Widow,1009189,296
469,Captain America,1009220,296
470,Captain Marvel (Mar-Vell),1009224,296
471,Daimon Hellstrom,1010719,296
472,Deathbird,1009270,296
473,Deathcry,1011037,296
474,Doctor Strange,1009282,296
475,Fantastic Four,1009299,296
476,Grim Reaper,1009328,296
477,Guardian,1009330,296
478,Hawkeye,1009338,296
479,Hercules,1009343,296
480,Hulk,1009351,296
481,Human Torch,1009356,296
482,Invisible Woman,1009366,296
483,Iron Man,1009368,296
484,Korg,1011080,296
485,Luke Cage,1009215,296
486,Moira MacTaggert,1009410,296
487,Mr. Fantastic,1009459,296
488,Multiple Man,1011056,296
489,Northstar,1009476,296
490,Red She-Hulk,1011436,296
491,Rick Jones,1009379,296
492,Sasquatch (Walter Langkowski),1009560,296
493,Sentry (Robert Reynolds),1009571,296
494,She-Hulk (Jennifer Walters),1009583,296
495,Silver Surfer,1009592,296
496,Skaar,1011223,296
497,Snowbird,1009606,296
498,Spider-Man,1009610,296
499,Stepford Cuckoos,1009625,296
500,Swordsman,1009641,296
501,Swordsman (Jaques Duquesne),1010982,296
502,Thing,1009662,296
503,Thor,1009664,296
504,Thunderbird (John Proudstar),1009666,296
505,Venom (Mac Gargan),1010788,296
506,Venus (Siren),1011106,296
507,Vindicator,1009695,296
508,Vision,1009697,296
509,Winter Soldier,1010740,296
510,Wolverine,1009718,296
511,X-Men,1009726,296
512,Yellowjacket (Rita DeMara),1010996,296
513,Absorbing Man,1009148,238
514,Arnim Zola,1009740,238
515,Avengers,1009165,238
516,Beast,1009175,238
517,Bishop,1009182,238
518,Black Bolt,1009184,238
519,Black Cat,1009185,238
520,Black Panther,1009187,238
521,Blade,1009191,238
522,Blizzard,1009198,238
523,Boomerang,1010371,238
524,Bullseye,1009212,238
525,Cable,1009214,238
526,Cable (Deadpool),1017317,238
527,Captain America,1009220,238
528,Captain Marvel (Carol Danvers),1010338,238
529,Chameleon,1009234,238
530,Chase Stein,1010754,238
531,Cloak,1009241,238
532,Colleen Wing,1010676,238
533,Colossus,1009243,238
534,Cyclops,1009257,238
535,Daredevil,1009262,238
536,Deadpool,1009268,238
537,Doctor Strange,1009282,238
538,Domino,1009277,238
539,Dragon Man,1009283,238
540,Falcon,1009297,238
541,Fantastic Four,1009299,238
542,Gertrude Yorkes,1010749,238
543,Ghost Rider (Johnny Blaze),1009318,238
544,Goliath (Bill Foster),1010927,238
545,GW Bridge,1009207,238
546,Hank Pym,1011490,238
547,Hawkeye (Kate Bishop),1010808,238
548,Heroes For Hire,1010759,238
549,Hulkling,1009355,238
550,Human Torch,1009356,238
551,Inhumans,1009365,238
552,Invisible Woman,1009366,238
553,Iron Man,1009368,238
554,J. Jonah Jameson,1009372,238
555,Jack O' Lantern,1010766,238
556,Joystick,1011033,238
557,Kate Bishop,1010810,238
558,Kingpin,1009389,238
559,Luke Cage,1009215,238
560,Magneto,1009417,238
561,Maria Hill,1011335,238
562,Mary Jane Watson,1009708,238
563,Medusa,1009438,238
564,Molly Hayes,1010691,238
565,Molten Man,1011370,238
566,Moon Knight,1009452,238
567,Mr. Fantastic,1009459,238
568,Namor,1009466,238
569,New Warriors,1010683,238
570,Nico Minoru,1010746,238
571,Nitro,1010797,238
572,Owl,1011028,238
573,Patriot,1009492,238
574,Professor X,1009504,238
575,Prowler,1009507,238
576,Puma,1009514,238
577,Punisher,1009515,238
578,Radioactive Man,1009526,238
579,Red Skull,1009535,238
580,Rhino,1009537,238
581,Rogue,1009546,238
582,Runaways,1010747,238
583,S.H.I.E.L.D.,1009552,238
584,Sentry (Robert Reynolds),1009571,238
585,Shatterstar,1009580,238
586,She-Hulk (Jennifer Walters),1009583,238
587,Shocker (Herman Schultz),1009585,238
588,Silvermane,1009594,238
589,Sister Grimm,1010745,238
590,Speed,1010833,238
591,Speedball (Robert Baldwin),1010694,238
592,Spider-Man,1009610,238
593,Spider-Woman (Jessica Drew),1009608,238
594,Stature,1010828,238
595,Storm,1009629,238
596,Sub-Mariner,1010791,238
597,Swordsman,1009641,238
598,Talkback (Chase Stein),1010753,238
599,Thing,1009662,238
600,Thor,1009664,238
601,Thunderbolts,1010360,238
602,Tigra (Greer Nelson),1009670,238
603,Tony Stark,1009624,238
604,Venom (Mac Gargan),1010788,238
605,Vision,1009697,238
606,Warbird,1009703,238
607,Wasp,1009707,238
608,Wiccan,1009714,238
609,Winter Soldier,1010740,238
610,Wolverine,1009718,238
611,X-Men,1009726,238
612,Young Avengers,1010698,238
613,Avengers,1009165,239
614,Deathcry,1011037,239
615,Force Works,1009307,239
616,Hawkeye,1009338,239
617,Iron Man,1009368,239
618,Kang,1009384,239
619,Magdalene,1010867,239
620,Mantis,1011026,239
621,Masque,1010367,239
622,Titanium Man (Topolov),1009672,239
623,Wasp,1009707,239
624,Agents of Atlas,1011198,318
625,Amadeus Cho,1011227,318
626,Angel (Warren Worthington III),1009153,318
627,Ant-Man (Eric O'Grady),1010802,318
628,Ares,1010784,318
629,Avalanche,1009164,318
630,Avengers,1009165,318
631,Baron Strucker,1009169,318
632,Beast,1009175,318
633,Bengal,1010829,318
634,Black Panther,1009187,318
635,Bullseye,1009212,318
636,Captain Marvel (Carol Danvers),1010338,318
637,Charles Xavier,1009733,318
638,Clint Barton,1010809,318
639,Cloak,1009241,318
640,Colossus,1009243,318
641,Constrictor,1009245,318
642,Cyclops,1009257,318
643,Dagger,1009258,318
644,Daimon Hellstrom,1010719,318
645,Daken,1011001,318
646,Daredevil,1009262,318
647,Dark Avengers,1011367,318
648,Dark Beast,1010907,318
649,Dark X-Men,1011387,318
650,Deadpool,1009268,318
651,Diamondback (Rachel Leighton),1009274,318
652,Doctor Doom,1009281,318
653,Doctor Strange,1009282,318
654,Domino,1009277,318
655,Dormammu,1009280,318
656,Dum Dum Dugan,1009284,318
657,Edwin Jarvis,1011072,318
658,Elektra,1009288,318
659,Emma Frost,1009310,318
660,Fantastic Four,1009299,318
661,Fantomex,1009301,318
662,Frank Castle,1009229,318
663,Galactus,1009312,318
664,Gambit,1009313,318
665,Gauntlet (Joseph Green),1009316,318
666,Gorgon,1009324,318
667,Gorilla Man,1010731,318
668,Gravity,1010702,318
669,H.A.M.M.E.R.,1011400,318
670,Hank Pym,1011490,318
671,Hardball,1010821,318
672,Harry Osborn,1009486,318
673,Hawkeye,1009338,318
674,Hawkeye (Kate Bishop),1010808,318
675,Hercules,1009343,318
676,Hulk,1009351,318
677,Hulkling,1009355,318
678,Human Robot,1010722,318
679,Human Torch,1009356,318
680,Hydra,1009359,318
681,Iceman,1009362,318
682,Invisible Woman,1009366,318
683,Iron Man,1009368,318
684,Iron Patriot,1009487,318
685,J. Jonah Jameson,1009372,318
686,Jessica Jones,1009378,318
687,Jimmy Woo,1011105,318
688,Jocasta,1009376,318
689,Justice,1010760,318
690,Klaw,1009390,318
691,Komodo (Melati Kusuma),1010818,318
692,Lethal Legion,1011421,318
693,Lily Hollister,1011257,318
694,Loki,1009407,318
695,Luke Cage,1009215,318
696,Madame Masque,1010352,318
697,Maria Hill,1011335,318
698,Marvel Boy,1009427,318
699,May Parker,1009490,318
700,Menace,1011241,318
701,Mimic,1009445,318
702,Mockingbird,1011220,318
703,Moonstone,1010362,318
704,Mr. Fantastic,1009459,318
705,Mr. Negative,1011244,318
706,Mystique,1009465,318
707,Namor,1009466,318
708,Namora,1009468,318
709,Nick Fury,1009471,318
710,Nightcrawler,1009472,318
711,Norman Osborn,1009325,318
712,Omega Red,1009482,318
713,Patriot,1009492,318
714,Pepper Potts,1009494,318
715,Pixie,1011179,318
716,Prodigy,1011030,318
717,Professor X,1009504,318
718,Psylocke,1009512,318
719,Punisher,1009515,318
720,Quake (Daisy Johnson),1014528,318
721,Quicksilver,1009524,318
722,Rage,1010817,318
723,Rogue,1009546,318
724,Adam Warlock,1010354,240
725,Archangel,1009159,240
726,Banshee,1009168,240
727,Beast,1009175,240
728,Boom Boom,1010366,240
729,Cable,1009214,240
730,Cannonball,1009219,240
731,Captain Marvel (Carol Danvers),1010338,240
732,Colossus,1009243,240
733,Cyclops,1009257,240
734,Fantastic Four,1009299,240
735,Forge,1009309,240
736,Franklin Richards,1009539,240
737,Havok,1009337,240
738,Human Torch,1009356,240
739,Iceman,1009362,240
740,Invisible Woman,1009366,240
741,Jean Grey,1009327,240
742,Jubilee,1009381,240
743,Longshot,1009408,240
744,Mr. Fantastic,1009459,240
745,New Mutants,1011336,240
746,Psylocke,1009512,240
747,Sentinels,1011323,240
748,Spider-Man,1009610,240
749,Storm,1009629,240
750,Sunspot,1009638,240
751,Thing,1009662,240
752,Wolverine,1009718,240
753,X-Factor,1010738,240
754,X-Men,1009726,240
755,Doctor Octopus,1009276,332
756,Gwen Stacy,1009619,332
757,J. Jonah Jameson,1009372,332
758,Jackal,1011288,332
759,Lizard,1009404,332
760,Prowler,1009507,332
761,Scarlet Spider (Kaine),1011426,332
762,Spider-Gwen (Spider-Gwen),1017603,332
763,Spider-Man,1009610,332
764,Spider-Woman (Mattie Franklin),1010794,332
765,Beast,1009175,245
766,Cyclops,1009257,245
767,Elektra,1009288,245
768,Emma Frost,1009310,245
769,Gorgon,1009324,245
770,Iron Man,1009368,245
771,Kitty Pryde,1009508,245
772,Nick Fury,1009471,245
773,Rachel Grey,1009430,245
774,Spider-Man,1009610,245
775,Storm,1009629,245
776,Swordsman,1009641,245
777,Thunderbolts,1010360,245
778,Wolverine,1009718,245
779,X-Men,1009726,245
780,Apocalypse,1009156,246
781,Archangel,1009159,246
782,Avalanche,1009164,246
783,Avengers,1009165,246
784,Beast,1009175,246
785,Blob,1009199,246
786,Boom Boom,1010366,246
787,Caliban,1009216,246
788,Colossus,1009243,246
789,Crystal,1009255,246
790,Cyclops,1009257,246
791,Dark Phoenix,1009265,246
792,Dazzler,1009267,246
793,Fantastic Four,1009299,246
794,Firebird,1010868,246
795,Forge,1009309,246
796,Franklin Richards,1009539,246
797,Gateway,1009315,246
798,Havok,1009337,246
799,Hawkeye,1009338,246
800,High Evolutionary,1011300,246
801,Iceman,1009362,246
802,Jean Grey,1009327,246
803,Leech,1011092,246
804,Longshot,1009408,246
805,Madelyne Pryor,1009509,246
806,Mantis,1011026,246
807,Mockingbird,1011220,246
808,Mojo,1009448,246
809,Moon Knight,1009452,246
810,New Mutants,1011336,246
811,Nightcrawler,1009472,246
812,Penance (Robert Baldwin),1009493,246
813,Professor X,1009504,246
814,Psylocke,1009512,246
815,Purifiers,1011207,246
816,Pyro,1009522,246
817,Rictor,1009542,246
818,Rogue,1009546,246
819,Spider-Man,1009610,246
820,Spiral (Rita Wayword),1009614,246
821,Storm,1009629,246
822,Thor,1009664,246
823,Tigra (Greer Nelson),1009670,246
824,Wolverine,1009718,246
825,Wonder Man,1009719,246
826,X-Factor,1010738,246
827,X-Men,1009726,246
828,Zaladane,1009738,246
829,Bruce Banner,1009167,297
830,Hulk,1009351,297
831,Leader,1009398,297
832,M.O.D.O.K.,1010726,297
833,Red Hulk,1011360,297
834,Red She-Hulk,1011436,297
835,She-Hulk (Jennifer Walters),1009583,297
836,She-Hulk (Lyra),1011392,297
837,Skaar,1011223,297
838,Thundra,1011304,297
839,Apocalypse,1009156,248
840,Archangel,1009159,248
841,Avalanche,1009164,248
842,Beast,1009175,248
843,Betty Ross,1009548,248
844,Black Panther,1009187,248
845,Black Widow,1009189,248
846,Blob,1009199,248
847,Bruce Banner,1009167,248
848,Caliban,1009216,248
849,Captain America,1009220,248
850,Captain Marvel (Carol Danvers),1010338,248
851,Colossus,1009243,248
852,Crystal,1009255,248
853,Cyclops,1009257,248
854,Daredevil,1009262,248
855,Dazzler,1009267,248
856,Destiny,1009271,248
857,Doctor Doom,1009281,248
858,Famine,1009298,248
859,Fantastic Four,1009299,248
860,Havok,1009337,248
861,Hulk,1009351,248
862,Human Torch,1009356,248
863,Iceman,1009362,248
864,Leader,1009398,248
865,Longshot,1009408,248
866,New Mutants,1011336,248
867,Nightcrawler,1009472,248
868,Pestilence,1009495,248
869,Psylocke,1009512,248
870,Pyro,1009522,248
871,Rachel Grey,1009430,248
872,Rick Jones,1009379,248
873,Rogue,1009546,248
874,Spiral (Rita Wayword),1009614,248
875,Storm,1009629,248
876,Thing,1009662,248
877,War (Abraham Kieros),1009701,248
878,Wolfsbane,1009717,248
879,Wolverine,1009718,248
880,X-Men,1009726,248
881,Archangel,1009159,249
882,Banshee,1009168,249
883,Banshee (Theresa Rourke),1009596,249
884,Beast,1009175,249
885,Bishop,1009182,249
886,Boomer,1009205,249
887,Cable,1009214,249
888,Cannonball,1009219,249
889,Captain Britain,1009223,249
890,Carmella Unuscione,1009688,249
891,Charles Xavier,1009733,249
892,Colossus,1009243,249
893,Cyclops,1009257,249
894,Excalibur,1010771,249
895,Exodus,1009295,249
896,Forge,1009309,249
897,Gambit,1009313,249
898,Havok,1009337,249
899,Iceman,1009362,249
900,Iron Man,1009368,249
901,Jean Grey,1009327,249
902,Jubilee,1009381,249
903,Kitty Pryde,1009508,249
904,Lilandra,1009402,249
905,Lockheed,1009405,249
906,Magneto,1009417,249
907,Mr. Fantastic,1009459,249
908,Nick Fury,1009471,249
909,Nightcrawler,1009472,249
910,Polaris,1009499,249
911,Professor X,1009504,249
912,Psylocke,1009512,249
913,Quicksilver,1009524,249
914,Rictor,1009542,249
915,Rogue,1009546,249
916,Shatterstar,1009580,249
917,Storm,1009629,249
918,Sunfire,1009636,249
919,Sunspot,1009638,249
920,Thing,1009662,249
921,Warpath,1009705,249
922,Wolverine,1009718,249
923,X-Factor,1010738,249
924,X-Force,1009724,249
925,X-Men,1009726,249
926,Absorbing Man,1009148,302
927,Alpha Flight,1010370,302
928,Amadeus Cho,1011227,302
929,Angel (Warren Worthington III),1009153,302
930,Ant-Man (Eric O'Grady),1010802,302
931,Ant-Man (Scott Lang),1010801,302
932,Archangel,1009159,302
933,Aurora,1009163,302
