,CharName
Nico Minoru,1
Nighthawk,1
Devos,1
Stacy X,1
Valkyrie (Samantha Parrington),1
Lord Hawal,1
Silhouette,1
Cardiac,1
Kree,1
Bug,1
Illuminati,1
Felicia Hardy,1
Caliban,1
Death,1
Vanisher (Telford Porter),1
Baron Strucker,1
Swordsman (Jaques Duquesne),1
Sinister Six,1
Eternals,1
Layla Miller,1
Arclight,1
Shanna the She-Devil,1
Gargoyle,1
Daken,1
Menace,1
Darkstar,1
Natasha Romanoff,1
Loa,1
Eternity,1
Mimic,1
Impossible Man,1
Demogoblin,1
3-D Man,1
Force Works,1
Mandarin,1
Bucky,1
Sue Storm,1
Mysterio,1
Agents of Atlas,1
Beyonder,1
Prince of Orphans,1
Dakota North,1
Hussar,1
Enchantress (Amora),1
The Watchers,1
Masque,1
Calypso,1
Red Shift,1
Harpoon,1
Genesis,1
Steve Rogers,1
Cypher,1
Thunderball,1
Magdalene,1
Nitro,1
Rockslide,1
Mr. Fixit,1
Talisman (Elizabeth Twoyoungmen),1
Spider-Woman (Mattie Franklin),1
Vengeance (Michael Badilino),1
Molecule Man,1
Ghost Rider (Daniel Ketch),1
Exiles,1
Abomination (Emil Blonsky),1
Baroness S'Bak,1
Leader,1
Exodus,1
Bride of Nine Spiders (Immortal Weapons),1
Arnim Zola,1
Tiger Shark,1
Titania,1
Cosmo (dog),1
U-Foes,1
Viper,1
X-Statix,1
Ravenous,1
Ka-Zar,1
Tarantula (Luis Alvarez),1
Spider-Woman (Charlotte Witter),1
Terrax,1
Air-Walker (Gabriel Lan),1
Blob,1
Celestials,1
Lady Deathstrike,1
Frog-Man,1
Frankenstein's Monster,1
Brother Voodoo,1
Matthew Murdock,1
Warpath,1
Prism,1
Glorian,1
Mach IV,1
Salo,1
Chase Stein,1
Mr. Hyde,1
Carnage,1
Angela (Aldrif Odinsdottir),1
Peter Quill,1
Korath,1
Sugar Man,1
S.H.I.E.L.D.,1
Dracula,1
Omega Red,1
Blockbuster,1
Mercury,1
Betty Brant,1
Clint Barton,1
Klaw,1
